week,ageDecade,total_tests,total_tests_clean,total_pos,percent_pos
6/4/2022,< 20,15046,15027,803,5.343714647
6/4/2022,20s,4414,4391,533,12.13846504
6/4/2022,30s,5521,5497,574,10.44205931
6/4/2022,40s,5772,5728,652,11.38268156
6/4/2022,50s,7010,6968,677,9.715843858
6/4/2022,60s,7289,7235,557,7.698686938
6/4/2022,70s,5895,5853,432,7.380830343
6/4/2022,> 80,7265,7211,274,3.799750381
6/11/2022,< 20,6905,6891,453,6.573791902
6/11/2022,20s,3636,3618,434,11.99557767
6/11/2022,30s,4562,4539,543,11.96298744
6/11/2022,40s,4642,4609,484,10.50119332
6/11/2022,50s,6022,5981,488,8.159170707
6/11/2022,60s,6715,6667,462,6.929653517
6/11/2022,70s,5181,5146,292,5.674310144
6/11/2022,> 80,6285,6243,232,3.716162102
6/18/2022,< 20,5162,5153,465,9.023869591
6/18/2022,20s,3901,3876,481,12.40970072
6/18/2022,30s,4849,4817,571,11.85385094
6/18/2022,40s,4793,4752,564,11.86868687
6/18/2022,50s,6271,6212,603,9.707018674
6/18/2022,60s,7019,6959,498,7.156200604
6/18/2022,70s,5521,5486,322,5.869485964
6/18/2022,> 80,6825,6783,245,3.611971104
6/25/2022,< 20,5968,5955,489,8.211586902
6/25/2022,20s,4002,3989,548,13.73777889
6/25/2022,30s,4796,4780,569,11.90376569
6/25/2022,40s,5084,5064,572,11.29541864
6/25/2022,50s,6407,6367,569,8.936704885
6/25/2022,60s,7170,7120,535,7.514044944
6/25/2022,70s,5771,5720,363,6.346153846
6/25/2022,> 80,6937,6889,241,3.498330672
7/2/2022,< 20,5382,5368,624,11.62444113
7/2/2022,20s,3926,3911,565,14.44643314
7/2/2022,30s,4592,4573,626,13.68904439
7/2/2022,40s,4874,4843,580,11.9760479
7/2/2022,50s,6248,6216,591,9.507722008
7/2/2022,60s,7117,7064,593,8.394677237
7/2/2022,70s,5732,5701,395,6.928609016
7/2/2022,> 80,6763,6719,257,3.824973954
7/9/2022,< 20,4670,4659,630,13.52221507
7/9/2022,20s,3757,3746,567,15.13614522
7/9/2022,30s,4454,4439,622,14.0121649
7/9/2022,40s,4662,4647,575,12.37357435
7/9/2022,50s,6159,6129,588,9.593734704
7/9/2022,60s,7096,7069,625,8.841420286
7/9/2022,70s,5659,5631,415,7.369916533
7/9/2022,> 80,7027,6994,290,4.14641121
7/16/2022,< 20,5274,5256,625,11.89117199
7/16/2022,20s,4177,4153,558,13.43607031
7/16/2022,30s,5000,4979,607,12.19120305
7/16/2022,40s,5195,5156,590,11.44297905
7/16/2022,50s,6995,6962,669,9.60930767
7/16/2022,60s,7615,7573,614,8.107751221
7/16/2022,70s,6038,6013,380,6.319640778
7/16/2022,> 80,7470,7429,290,3.903620945
7/23/2022,< 20,4861,4847,641,13.22467506
7/23/2022,20s,3896,3883,571,14.7051249
7/23/2022,30s,4859,4832,701,14.50745033
7/23/2022,40s,4968,4945,642,12.98281092
7/23/2022,50s,6693,6662,723,10.85259682
7/23/2022,60s,7969,7922,702,8.861398637
7/23/2022,70s,6463,6430,452,7.029548989
7/23/2022,> 80,8299,8268,335,4.051765844
7/30/2022,< 20,4218,4204,665,15.81826832
7/30/2022,20s,3771,3751,531,14.15622501
7/30/2022,30s,4628,4607,658,14.28261341
7/30/2022,40s,4993,4963,607,12.23050574
7/30/2022,50s,6597,6539,688,10.52148647
7/30/2022,60s,7771,7706,639,8.292239813
7/30/2022,70s,6938,6885,400,5.8097313
7/30/2022,> 80,11376,11341,292,2.57472886
8/6/2022,< 20,4039,4029,605,15.01613304
8/6/2022,20s,3635,3621,553,15.2720243
8/6/2022,30s,4496,4465,588,13.16909295
8/6/2022,40s,4673,4638,570,12.28978008
8/6/2022,50s,6409,6359,622,9.781412172
8/6/2022,60s,7485,7436,547,7.356105433
8/6/2022,70s,6390,6362,382,6.004401132
8/6/2022,> 80,8091,8060,310,3.846153846
8/13/2022,< 20,3874,3868,515,13.31437435
8/13/2022,20s,3501,3475,464,13.35251799
8/13/2022,30s,4406,4376,531,12.13436929
8/13/2022,40s,4595,4553,514,11.28925983
8/13/2022,50s,6253,6188,567,9.162895928
8/13/2022,60s,7461,7379,497,6.735329991
8/13/2022,70s,6396,6334,379,5.983580676
8/13/2022,> 80,7701,7639,248,3.246498233
8/20/2022,< 20,4172,4160,473,11.37019231
8/20/2022,20s,3409,3397,393,11.5690315
8/20/2022,30s,4236,4212,455,10.80246914
8/20/2022,40s,4416,4375,469,10.72
8/20/2022,50s,6216,6175,548,8.874493927
8/20/2022,60s,7558,7494,487,6.498532159
8/20/2022,70s,6444,6386,352,5.512057626
8/20/2022,> 80,7661,7596,261,3.436018957
8/27/2022,< 20,8277,8266,652,7.887732882
8/27/2022,20s,3447,3434,341,9.930110658
8/27/2022,30s,4392,4376,452,10.32906764
8/27/2022,40s,4816,4787,458,9.567578859
8/27/2022,50s,6308,6262,455,7.266049186
8/27/2022,60s,7468,7429,455,6.124646655
8/27/2022,70s,6208,6178,335,5.422466818
8/27/2022,> 80,7385,7339,241,3.283826134
9/3/2022,< 20,12393,12382,685,5.532224196
9/3/2022,20s,3568,3554,325,9.144625774
9/3/2022,30s,4362,4345,424,9.758342923
9/3/2022,40s,4591,4560,406,8.903508772
9/3/2022,50s,6217,6195,400,6.456820016
9/3/2022,60s,7089,7041,399,5.666808692
9/3/2022,70s,5735,5690,289,5.079086116
9/3/2022,> 80,7176,7122,257,3.608536928
9/10/2022,< 20,14262,14252,516,3.620544485
9/10/2022,20s,3197,3174,292,9.199747952
9/10/2022,30s,4034,4017,368,9.161065472
9/10/2022,40s,4303,4272,315,7.373595506
9/10/2022,50s,5628,5579,389,6.97257573
9/10/2022,60s,6441,6387,336,5.260685768
9/10/2022,70s,5429,5377,257,4.779616887
9/10/2022,> 80,6652,6575,234,3.558935361
9/17/2022,< 20,17682,17670,396,2.241086587
9/17/2022,20s,3146,3139,184,5.861739407
9/17/2022,30s,4052,4023,285,7.084265474
9/17/2022,40s,4373,4336,270,6.226937269
9/17/2022,50s,5884,5828,313,5.370624571
9/17/2022,60s,6851,6772,366,5.404607206
9/17/2022,70s,5772,5707,255,4.468196951
9/17/2022,> 80,7157,7068,235,3.324844369
9/24/2022,< 20,20070,20056,290,1.445951336
9/24/2022,20s,3007,2996,177,5.90787717
9/24/2022,30s,3706,3669,222,6.050695012
